,project_name,html_url
872440,rocketscience-projects/javaslang,https://github.com/rocketscience-projects/javaslang
1174820,dropwizard/dropwizard,https://github.com/dropwizard/dropwizard
489767,ReactiveX/RxAndroid,https://github.com/ReactiveX/RxAndroid
765959,square/okio,https://github.com/square/okio
1848558,sephiroth74/ImageViewZoom,https://github.com/sephiroth74/ImageViewZoom
1723790,satyan/sugar,https://github.com/satyan/sugar
1852341,unclebob/fitnesse,https://github.com/unclebob/fitnesse
1849153,square/retrofit,https://github.com/square/retrofit
310461,google/guava,https://github.com/google/guava
1849160,jersey/jersey,https://github.com/jersey/jersey
916781,dropwizard/metrics,https://github.com/dropwizard/metrics
1739335,tomakehurst/wiremock,https://github.com/tomakehurst/wiremock
1466160,linkedin/rest.li,https://github.com/linkedin/rest.li
4911,square/keywhiz,https://github.com/square/keywhiz
1180828,spring-projects/spring-mvc-showcase,https://github.com/spring-projects/spring-mvc-showcase
1231654,eclipse/vert.x,https://github.com/eclipse/vert.x
1851824,cbeust/jcommander,https://github.com/cbeust/jcommander
183870,GoogleCloudPlatform/DataflowJavaSDK,https://github.com/GoogleCloudPlatform/DataflowJavaSDK
1852459,spullara/mustache.java,https://github.com/spullara/mustache.java
458208,OpenHFT/Chronicle-Queue,https://github.com/OpenHFT/Chronicle-Queue
1724940,antlr/antlr4,https://github.com/antlr/antlr4
1439300,alibaba/druid,https://github.com/alibaba/druid
1354675,square/picasso,https://github.com/square/picasso
1644086,square/dagger,https://github.com/square/dagger
1095986,addthis/stream-lib,https://github.com/addthis/stream-lib
799496,SonarSource/sonarqube,https://github.com/SonarSource/sonarqube
148214,dsyer/spring-security-angular,https://github.com/dsyer/spring-security-angular
1815842,neo4j/neo4j,https://github.com/neo4j/neo4j
930897,square/phrase,https://github.com/square/phrase
1254216,orfjackal/retrolambda,https://github.com/orfjackal/retrolambda
1719924,jayway/JsonPath,https://github.com/jayway/JsonPath
1739952,apache/zookeeper,https://github.com/apache/zookeeper
841220,Crate/crate,https://github.com/Crate/crate
1514037,forcedotcom/phoenix,https://github.com/forcedotcom/phoenix
1029504,path/android-priority-jobqueue,https://github.com/path/android-priority-jobqueue
1849049,eclipse/jetty.project,https://github.com/eclipse/jetty.project
1850336,thebuzzmedia/imgscalr,https://github.com/thebuzzmedia/imgscalr
1851298,Jasig/cas,https://github.com/Jasig/cas
1351351,jclouds/legacy-jclouds,https://github.com/jclouds/legacy-jclouds
1757185,ninjaframework/ninja,https://github.com/ninjaframework/ninja
731150,querydsl/querydsl,https://github.com/querydsl/querydsl
1055980,square/mortar,https://github.com/square/mortar
1846763,tinkerpop/gremlin,https://github.com/tinkerpop/gremlin
657941,spotify/helios,https://github.com/spotify/helios
292445,google/firing-range,https://github.com/google/firing-range
934605,HdrHistogram/HdrHistogram,https://github.com/HdrHistogram/HdrHistogram
1602653,dreamhead/moco,https://github.com/dreamhead/moco
1708198,jOOQ/jOOR,https://github.com/jOOQ/jOOR
468208,badoo/android-weak-handler,https://github.com/badoo/android-weak-handler
1849514,nathanmarz/storm-starter,https://github.com/nathanmarz/storm-starter
466370,pushtorefresh/bamboo-storage,https://github.com/pushtorefresh/bamboo-storage
1465742,mybatis/mybatis-3,https://github.com/mybatis/mybatis-3
1850835,notnoop/java-apns,https://github.com/notnoop/java-apns
1683186,mockito/mockito,https://github.com/mockito/mockito
1849467,hazelcast/hazelcast,https://github.com/hazelcast/hazelcast
1850985,droolsjbpm/drools,https://github.com/droolsjbpm/drools
1849002,Netflix/archaius,https://github.com/Netflix/archaius
1594786,datastax/java-driver,https://github.com/datastax/java-driver
1853047,xetorthio/jedis,https://github.com/xetorthio/jedis
543258,OryxProject/oryx,https://github.com/OryxProject/oryx
1743930,qos-ch/logback,https://github.com/qos-ch/logback
46981,pushtorefresh/storio,https://github.com/pushtorefresh/storio
171181,druid-io/druid,https://github.com/druid-io/druid
1022801,galenframework/galen,https://github.com/galenframework/galen
1599235,killbill/killbill,https://github.com/killbill/killbill
1140319,emilsjolander/sprinkles,https://github.com/emilsjolander/sprinkles
60965,elastic/elasticsearch,https://github.com/elastic/elasticsearch
1852387,elasticsearch/elasticsearch,https://github.com/elasticsearch/elasticsearch
1850252,scobal/seyren,https://github.com/scobal/seyren
1638087,LMAX-Exchange/disruptor,https://github.com/LMAX-Exchange/disruptor
1849649,nasa/mct,https://github.com/nasa/mct
1376427,RoboBinding/RoboBinding,https://github.com/RoboBinding/RoboBinding
170385,googlesamples/android-testing,https://github.com/googlesamples/android-testing
1326872,mcxiaoke/android-volley,https://github.com/mcxiaoke/android-volley
